animal_id,animal_subid,animal_area_pkid,animal_shelter_pkid,animal_place,animal_kind,animal_Variety,animal_sex,animal_bodytype,animal_colour,animal_age,animal_sterilization,animal_bacterin,animal_foundplace,animal_title,animal_status,animal_remark,animal_caption,animal_opendate,animal_closeddate,animal_update,animal_createtime,shelter_name,album_file,album_update,cDate,shelter_address,shelter_tel
466979,S15C0905-02,16,74,臺南市動物之家善化站,貓,混種貓                 ,F,SMALL,黃色,ADULT,N,F,,,OPEN,,,2026/9/5,2999/12/31,2026/9/5,2026/9/5,臺南市動物之家善化站,https://www.pet.gov.tw/upload/pic/1788599983110.png,,2026/9/5,臺南市善化區昌隆里東勢寮1-19號,(06)5832399
466978,S15C0905-01,16,74,臺南市動物之家善化站,貓,混種貓                 ,M,SMALL,黑色,CHILD,N,F,,,OPEN,,,2026/9/5,2999/12/31,,2026/9/5,臺南市動物之家善化站,https://www.pet.gov.tw/upload/pic/1788599958018.png,,,臺南市善化區昌隆里東勢寮1-19號,(06)5832399
466971,S150905-01,16,74,臺南市動物之家善化站,狗,混種犬          ,F,SMALL,虎斑色,CHILD,N,F,,,OPEN,本站動物皆採現場互動面談後評估能否認養，不接受電話或系統上預約。,,2026/9/5,2999/12/31,,2026/9/5,臺南市動物之家善化站,https://www.pet.gov.tw/upload/pic/1788599333889.png,,,臺南市善化區昌隆里東勢寮1-19號,(06)5832399
466974,AAAHG1150905001,3,58,新北市五股區公立動物之家,貓,混種貓                 ,M,MEDIUM,虎斑色,CHILD,F,F,五股區壟溝路14-8號,,OPEN,,,2026/9/5,2999/12/31,,2026/9/5,新北市五股區公立動物之家,,,,新北市五股區外寮路9-9號,(02)82925265
466973,W150905-01,16,73,臺南市動物之家灣裡站,狗,混種犬          ,F,SMALL,棕白色,CHILD,N,F,龍中街30巷11號,,OPEN,,,2026/9/5,2999/12/31,2026/9/5,2026/9/5,臺南市動物之家灣裡站,https://www.pet.gov.tw/upload/pic/1788596484356.png,,2026/9/5,臺南市南區省躬里14鄰萬年路580巷92號,(06)2964439
466970,S15S09040-01,16,74,臺南市動物之家善化站,其他,未確認,M,SMALL,虎斑色,CHILD,N,F,,,OPEN,本站動物皆採現場互動面談後評估能否認養，不接受電話或系統上預約。,,2026/9/11,2999/12/31,,2026/9/4,臺南市動物之家善化站,https://www.pet.gov.tw/upload/pic/1788595828688.png,,,臺南市善化區昌隆里東勢寮1-19號,(06)5832399
57961,107072312,2,49,臺北市動物之家,狗,混種犬          ,M,MEDIUM,黑白色,ADULT,T,F,民眾不擬續養,,OPEN,(107.7.25所內絕育),,2021/4/10,2999/12/31,2026/9/5,2018/7/23,臺北市動物之家,https://www.pet.gov.tw/upload/pic/1785650117136.png,,2026/9/5,臺北市內湖區安美街191號,(02)87913254
466956,QAAAG1150905002,4,48,基隆市寵物銀行,貓,混種貓                 ,N,MEDIUM,白色,ADULT,N,F,,,OPEN,,,2026/9/5,2999/12/31,2026/9/5,2026/9/5,基隆市寵物銀行,https://www.pet.gov.tw/upload/pic/1788588790702.png,,2026/9/5,基隆市七堵區大華三路45-12號(欣欣安樂園旁),(02)24560148
466951,QAAAG1150905001,4,48,基隆市寵物銀行,狗,混種犬          ,M,SMALL,虎斑色,CHILD,F,F,大華三路15號,,OPEN,,,2026/9/5,2999/12/31,2026/9/5,2026/9/5,基隆市寵物銀行,https://www.pet.gov.tw/upload/pic/1788587433496.png,,2026/9/5,基隆市七堵區大華三路45-12號(欣欣安樂園旁),(02)24560148
466964,GAAAG1150905005,11,69,彰化縣流浪狗中途之家臨時收容所,狗,混種犬          ,M,SMALL,黑色,CHILD,N,F,彰草路873號對面馬路邊,,OPEN,,,2026/9/5,2999/12/31,2026/9/5,2026/9/5,彰化縣流浪狗中途之家臨時收容所,https://www.pet.gov.tw/upload/pic/1788589262589.png,,2026/9/5,彰化縣芳苑鄉文津段436-4地號（座標緯度及經度：23.932676， 120.367307）,-9
466962,GAAAG1150905004,11,69,彰化縣流浪狗中途之家臨時收容所,狗,混種犬          ,F,SMALL,黑色,CHILD,N,F,南安路153巷19號排水溝,,OPEN,,,2026/9/5,2999/12/31,2026/9/5,2026/9/5,彰化縣流浪狗中途之家臨時收容所,https://www.pet.gov.tw/upload/pic/1788589174171.png,,2026/9/5,彰化縣芳苑鄉文津段436-4地號（座標緯度及經度：23.932676， 120.367307）,-9
466961,GAAAG1150905003,11,69,彰化縣流浪狗中途之家臨時收容所,狗,混種犬          ,M,SMALL,黑黃色,ADULT,N,F,經口路216號附近,,OPEN,,,2026/9/5,2999/12/31,2026/9/5,2026/9/5,彰化縣流浪狗中途之家臨時收容所,https://www.pet.gov.tw/upload/pic/1788588973781.png,,2026/9/5,彰化縣芳苑鄉文津段436-4地號（座標緯度及經度：23.932676， 120.367307）,-9
466960,GAAAG1150905002,11,69,彰化縣流浪狗中途之家臨時收容所,狗,混種犬          ,F,SMALL,黑色,CHILD,N,F,福建巷20號,,OPEN,,,2026/9/5,2999/12/31,2026/9/5,2026/9/5,彰化縣流浪狗中途之家臨時收容所,https://www.pet.gov.tw/upload/pic/1788588879101.png,,2026/9/5,彰化縣芳苑鄉文津段436-4地號（座標緯度及經度：23.932676， 120.367307）,-9
466958,GAAAG1150905001,11,69,彰化縣流浪狗中途之家臨時收容所,狗,混種犬          ,F,SMALL,黑黃色,CHILD,N,F,民權路144巷25-1號,,OPEN,,,2026/9/5,2999/12/31,2026/9/5,2026/9/5,彰化縣流浪狗中途之家臨時收容所,https://www.pet.gov.tw/upload/pic/1788588815249.png,,2026/9/5,彰化縣芳苑鄉文津段436-4地號（座標緯度及經度：23.932676， 120.367307）,-9
460810,GAAAG1150715009,11,69,彰化縣流浪狗中途之家臨時收容所,狗,混種犬          ,F,SMALL,黑色,CHILD,N,F,,,OPEN,115年7月15日早上10點起民眾可至收容所認養，本所不受理網路及電話預約，認養前請先來電洽詢。,,2026/7/15,2999/12/31,2026/9/5,2026/7/15,彰化縣流浪狗中途之家臨時收容所,https://www.pet.gov.tw/upload/pic/1788588494704.png,,2026/9/5,彰化縣芳苑鄉文津段436-4地號（座標緯度及經度：23.932676， 120.367307）,-9
438416,OAAAG1150112005,19,79,花蓮縣狗貓躍動園區,狗,混種犬          ,M,MEDIUM,黑色,ADULT,T,F,,,OPEN,認養動物需現場互動評估，欲認養請先來電預約，恕不作保留。,,2026/7/16,2999/12/31,2026/9/5,2026/1/12,花蓮縣狗貓躍動園區,https://www.pet.gov.tw/upload/pic/1768206192366.png,,2026/9/5,花蓮縣鳳林鎮林榮里永豐路255號,(03)8421452
465018,QAAAG1150818003,4,48,基隆市寵物銀行,貓,混種貓                 ,N,BIG,虎斑白色,ADULT,N,F,花源三街56號,,OPEN,絕育後回置，預計日期97,,2026/8/18,2999/12/31,2026/9/5,2026/8/18,基隆市寵物銀行,https://www.pet.gov.tw/upload/pic/1787039263701.png,,2026/9/5,基隆市七堵區大華三路45-12號(欣欣安樂園旁),(02)24560148
465614,QAAAG1150825001,4,48,基隆市寵物銀行,狗,瑪爾濟斯犬           ,F,SMALL,白色,ADULT,N,F,南榮路243巷,,OPEN,待絕育後開放認養，日期暫定919,,2026/9/19,2999/12/31,2026/9/5,2026/8/24,基隆市寵物銀行,https://www.pet.gov.tw/upload/pic/1787629769181.png,,2026/9/5,基隆市七堵區大華三路45-12號(欣欣安樂園旁),(02)24560148
445184,QAAAG1150312001,4,48,基隆市寵物銀行,狗,混種犬          ,M,MEDIUM,黑色,ADULT,T,F,暖暖街530巷,,OPEN,,,2026/9/9,2999/12/31,2026/9/5,2026/3/12,基隆市寵物銀行,https://www.pet.gov.tw/upload/pic/1773279161210.png,,2026/9/5,基隆市七堵區大華三路45-12號(欣欣安樂園旁),(02)24560148
446504,QAAAG1150323001,4,48,基隆市寵物銀行,貓,混種貓                 ,M,BIG,虎斑色,ADULT,T,F,西定路264巷,,OPEN,絕育後回置，預計910回置,,2026/8/24,2999/12/31,2026/9/5,2026/3/23,基隆市寵物銀行,https://www.pet.gov.tw/upload/pic/1774243948953.png,,2026/9/5,基隆市七堵區大華三路45-12號(欣欣安樂園旁),(02)24560148
464808,QAAAG1150817001,4,48,基隆市寵物銀行,貓,混種貓                 ,N,SMALL,虎斑色,CHILD,N,F,花源三街56號,,OPEN,,,2026/8/17,2999/12/31,2026/9/5,2026/8/17,基隆市寵物銀行,https://www.pet.gov.tw/upload/pic/1786953428863.png,,2026/9/5,基隆市七堵區大華三路45-12號(欣欣安樂園旁),(02)24560148
462117,QAAAG1150725002,4,48,基隆市寵物銀行,貓,混種貓                 ,M,SMALL,黑白色,CHILD,T,F,中山區中和路85巷,,OPEN,左眼受傷治療中,,2026/8/24,2999/12/31,2026/9/5,2026/7/25,基隆市寵物銀行,https://www.pet.gov.tw/upload/pic/1784940838927.png,,2026/9/5,基隆市七堵區大華三路45-12號(欣欣安樂園旁),(02)24560148
456508,QAAAG1150607003,4,48,基隆市寵物銀行,貓,混種貓                 ,F,SMALL,虎斑色,CHILD,F,F,東信路,,OPEN,,,2026/7/18,2999/12/31,2026/9/5,2026/6/7,基隆市寵物銀行,https://www.pet.gov.tw/upload/pic/1780815814549.png,,2026/9/5,基隆市七堵區大華三路45-12號(欣欣安樂園旁),(02)24560148
456507,QAAAG1150607002,4,48,基隆市寵物銀行,貓,混種貓                 ,M,SMALL,虎斑色,CHILD,F,F,東信路,,OPEN,,,2026/7/18,2999/12/31,2026/9/5,2026/6/7,基隆市寵物銀行,https://www.pet.gov.tw/upload/pic/1780815704293.png,,2026/9/5,基隆市七堵區大華三路45-12號(欣欣安樂園旁),(02)24560148
458183,QAAAG1150622002,4,48,基隆市寵物銀行,貓,混種貓                 ,F,SMALL,三花色,CHILD,F,F,崇法街22號,,OPEN,,,2026/6/22,2999/12/31,2026/9/5,2026/6/22,基隆市寵物銀行,https://www.pet.gov.tw/upload/pic/1782117056374.png,,2026/9/5,基隆市七堵區大華三路45-12號(欣欣安樂園旁),(02)24560148
459611,QAAAG1150704003,4,48,基隆市寵物銀行,貓,混種貓                 ,M,SMALL,黃白色,CHILD,F,F,,,OPEN,,,2026/7/4,2999/12/31,2026/9/5,2026/7/4,基隆市寵物銀行,https://www.pet.gov.tw/upload/pic/1783126351503.png,,2026/9/5,基隆市七堵區大華三路45-12號(欣欣安樂園旁),(02)24560148
466943,LAABG115090406,17,76,高雄市燕巢動物保護關愛園區,狗,西藏獒犬,F,BIG,黑色,ADULT,N,F,三民路,,OPEN,協尋飼主，暫不開放,,,2999/12/31,2026/9/5,2026/9/4,高雄市燕巢動物保護關愛園區,https://www.pet.gov.tw/upload/pic/1788575044216.png,,2026/9/5,高雄市燕巢區師大路98號,(07)6051002
466809,HAAAG1150903136,12,70,南投縣公立動物收容所,狗,混種犬          ,F,MEDIUM,黑色,ADULT,T,F,嶺興路,,OPEN,,,2026/9/3,2999/12/31,2026/9/5,2026/9/3,南投縣公立動物收容所,https://www.pet.gov.tw/upload/pic/1788487698140.png,,2026/9/5,南投縣南投市嶺興路36-1號,(049)2225440
457808,LAAAG1150617W8,17,75,高雄市壽山動物保護教育園區,狗,西施犬              ,M,MEDIUM,花色,ADULT,F,F,水管路三段,,OPEN,協尋飼主 暫不開放.115.9.15上午9:30開放認養,,,2999/12/31,2026/9/5,2026/6/17,高雄市壽山動物保護教育園區,https://www.pet.gov.tw/upload/pic/1781687920034.png,,2026/9/5,高雄市鼓山區萬壽路350號,(07)5519059
466942,HAAAG1150904003,12,70,南投縣公立動物收容所,狗,混種犬          ,M,SMALL,黑色,CHILD,T,F,彰南路三段,,OPEN,,,2026/9/4,2999/12/31,2026/9/5,2026/9/4,南投縣公立動物收容所,https://www.pet.gov.tw/upload/pic/1788573320196.png,,2026/9/5,南投縣南投市嶺興路36-1號,(049)2225440
466941,HAAAG1150904820,12,70,南投縣公立動物收容所,狗,混種犬          ,F,SMALL,黑色,CHILD,T,F,大廈巷,,OPEN,,,2026/9/4,2999/12/31,2026/9/5,2026/9/4,南投縣公立動物收容所,https://www.pet.gov.tw/upload/pic/1788573231591.png,,2026/9/5,南投縣南投市嶺興路36-1號,(049)2225440
466940,HAAAG1150904840,12,70,南投縣公立動物收容所,狗,混種犬          ,F,SMALL,黑色,CHILD,T,F,下溪巷,,OPEN,,,2026/9/4,2999/12/31,2026/9/5,2026/9/4,南投縣公立動物收容所,https://www.pet.gov.tw/upload/pic/1788573120966.png,,2026/9/5,南投縣南投市嶺興路36-1號,(049)2225440
466939,HAAAG1150904575,12,70,南投縣公立動物收容所,狗,混種犬          ,F,SMALL,黑色,CHILD,T,F,下溪巷,,OPEN,,,2026/9/4,2999/12/31,2026/9/5,2026/9/4,南投縣公立動物收容所,https://www.pet.gov.tw/upload/pic/1788573016550.png,,2026/9/5,南投縣南投市嶺興路36-1號,(049)2225440
466938,HAAAG1150904775,12,70,南投縣公立動物收容所,狗,混種犬          ,M,SMALL,虎斑白色,CHILD,T,F,下溪巷,,OPEN,,,2026/9/4,2999/12/31,2026/9/5,2026/9/4,南投縣公立動物收容所,https://www.pet.gov.tw/upload/pic/1788572922125.png,,2026/9/5,南投縣南投市嶺興路36-1號,(049)2225440
466937,HAAAG1150904899,12,70,南投縣公立動物收容所,狗,混種犬          ,M,SMALL,虎斑色,CHILD,T,F,下溪巷,,OPEN,,,2026/9/4,2999/12/31,2026/9/5,2026/9/4,南投縣公立動物收容所,https://www.pet.gov.tw/upload/pic/1788572828370.png,,2026/9/5,南投縣南投市嶺興路36-1號,(049)2225440
466936,HAAAG1150904819,12,70,南投縣公立動物收容所,狗,混種犬          ,M,SMALL,黑虎斑色,CHILD,T,F,下溪巷,,OPEN,,,2026/9/4,2999/12/31,2026/9/5,2026/9/4,南投縣公立動物收容所,https://www.pet.gov.tw/upload/pic/1788572681239.png,,2026/9/5,南投縣南投市嶺興路36-1號,(049)2225440
466935,AAAJG1150905004,3,60,新北市三芝區公立動物之家,貓,混種貓                 ,M,MEDIUM,黑色,ADULT,T,F,三芝區埔頭里,,OPEN,,,2026/9/5,2999/12/31,,2026/9/5,新北市三芝區公立動物之家,,,,新北市三芝區青山路(龍巖人本旁),(02)26365436
466934,AAAJG1150905003,3,60,新北市三芝區公立動物之家,貓,混種貓                 ,F,MEDIUM,虎斑色,ADULT,T,F,三芝區橫山里,,OPEN,,,2026/9/5,2999/12/31,,2026/9/5,新北市三芝區公立動物之家,,,,新北市三芝區青山路(龍巖人本旁),(02)26365436
466933,AAAJG1150905002,3,60,新北市三芝區公立動物之家,貓,混種貓                 ,M,MEDIUM,虎斑色,ADULT,T,F,三芝區橫山里,,OPEN,,,2026/9/5,2999/12/31,,2026/9/5,新北市三芝區公立動物之家,,,,新北市三芝區青山路(龍巖人本旁),(02)26365436
466932,AAAJG1150905001,3,60,新北市三芝區公立動物之家,狗,混種犬          ,M,MEDIUM,黑色,ADULT,T,F,石門區草里,,OPEN,,,2026/9/5,2999/12/31,,2026/9/5,新北市三芝區公立動物之家,,,,新北市三芝區青山路(龍巖人本旁),(02)26365436
466931,HAAAG1150904865,12,70,南投縣公立動物收容所,狗,混種犬          ,M,SMALL,虎斑色,CHILD,T,F,西安路,,OPEN,,,2026/9/4,2999/12/31,2026/9/5,2026/9/4,南投縣公立動物收容所,https://www.pet.gov.tw/upload/pic/1788570216461.png,,2026/9/5,南投縣南投市嶺興路36-1號,(049)2225440
466928,HAAAG1150904585,12,70,南投縣公立動物收容所,狗,柴犬                  ,F,MEDIUM,白色,ADULT,N,F,中正路三段,,OPEN,公告尋主中暫不開放領養,,,2999/12/31,2026/9/5,2026/9/4,南投縣公立動物收容所,https://www.pet.gov.tw/upload/pic/1788569901716.png,,2026/9/5,南投縣南投市嶺興路36-1號,(049)2225440
466926,HAAAG1150904C6,12,70,南投縣公立動物收容所,貓,混種貓                 ,F,SMALL,黑色,CHILD,T,F,史館路,,OPEN,,,2026/9/4,2999/12/31,2026/9/5,2026/9/4,南投縣公立動物收容所,https://www.pet.gov.tw/upload/pic/1788569639227.png,,2026/9/5,南投縣南投市嶺興路36-1號,(049)2225440
466925,HAAAG1150904C5,12,70,南投縣公立動物收容所,貓,混種貓                 ,M,SMALL,虎斑白色,CHILD,T,F,平和巷,,OPEN,,,2026/9/4,2999/12/31,2026/9/5,2026/9/4,南投縣公立動物收容所,https://www.pet.gov.tw/upload/pic/1788569518693.png,,2026/9/5,南投縣南投市嶺興路36-1號,(049)2225440
466887,NAAAG1150904010,20,80,臺東縣動物收容中心,狗,混種犬          ,F,BIG,,ADULT,N,F,美和活動中心,,OPEN,,,2026/9/4,2999/12/31,2026/9/4,2026/9/4,臺東縣動物收容中心,https://www.pet.gov.tw/upload/pic/1788569130076.png,,2026/9/4,臺東縣臺東市中華路4段999巷600號,(089)362011
466027,GAAAG1150828002,11,69,彰化縣流浪狗中途之家臨時收容所,貓,混種貓                 ,M,SMALL,,CHILD,T,F,復興路,,OPEN,115年9月8日早上10點30分起民眾可至收容所認養，本所不受理網路及電話預約，認養前請先來電洽詢。,,2026/9/8,2999/12/31,2026/9/5,2026/8/28,彰化縣流浪狗中途之家臨時收容所,https://www.pet.gov.tw/upload/pic/1787880437311.png,,2026/9/5,彰化縣芳苑鄉文津段436-4地號（座標緯度及經度：23.932676， 120.367307）,-9
456704,GAAAG1150609004,11,69,彰化縣流浪狗中途之家臨時收容所,狗,混種犬          ,F,MEDIUM,黑色,ADULT,T,F,民和巷173號附近,,OPEN,入所時戴有藍黑色項圈；115年9月8日早上10點30分起民眾可至收容所認養，本所不受理網路及電話預約，認養前請先來電洽詢。,,2026/9/8,2999/12/31,2026/9/5,2026/6/9,彰化縣流浪狗中途之家臨時收容所,https://www.pet.gov.tw/upload/pic/1780969893835.png,,2026/9/5,彰化縣芳苑鄉文津段436-4地號（座標緯度及經度：23.932676， 120.367307）,-9
462551,GAAAG1150729002,11,69,彰化縣流浪狗中途之家臨時收容所,狗,混種犬          ,M,MEDIUM,三花色,ADULT,T,F,王厝路67巷,,OPEN,115年9月8日早上10點30分起民眾可至收容所認養，本所不受理網路及電話預約，認養前請先來電洽詢。,,2026/9/8,2999/12/31,2026/9/5,2026/7/29,彰化縣流浪狗中途之家臨時收容所,https://www.pet.gov.tw/upload/pic/1785291630859.png,,2026/9/5,彰化縣芳苑鄉文津段436-4地號（座標緯度及經度：23.932676， 120.367307）,-9
463604,GAAAG1150806008,11,69,彰化縣流浪狗中途之家臨時收容所,狗,混種犬          ,M,MEDIUM,黑色,ADULT,T,F,彰水路一段161巷附近,,OPEN,115年9月8日早上10點30分起民眾可至收容所認養，本所不受理網路及電話預約，認養前請先來電洽詢。,,2026/9/8,2999/12/31,2026/9/5,2026/8/6,彰化縣流浪狗中途之家臨時收容所,https://www.pet.gov.tw/upload/pic/1785998737768.png,,2026/9/5,彰化縣芳苑鄉文津段436-4地號（座標緯度及經度：23.932676， 120.367307）,-9
463466,GAAAG1150805002,11,69,彰化縣流浪狗中途之家臨時收容所,狗,混種犬          ,M,MEDIUM,黑色,ADULT,T,F,彰化師大,,OPEN,115年9月8日早上10點30分起民眾可至收容所認養，本所不受理網路及電話預約，認養前請先來電洽詢。,,2026/9/8,2999/12/31,2026/9/5,2026/8/5,彰化縣流浪狗中途之家臨時收容所,https://www.pet.gov.tw/upload/pic/1785911380637.png,,2026/9/5,彰化縣芳苑鄉文津段436-4地號（座標緯度及經度：23.932676， 120.367307）,-9
463589,GAAAG1150806001,11,69,彰化縣流浪狗中途之家臨時收容所,狗,混種犬          ,M,MEDIUM,棕色,ADULT,T,F,山腳路5段186巷,,OPEN,入所時戴有紅色項圈；115年9月8日早上10點30分起民眾可至收容所認養，本所不受理網路及電話預約，認養前請先來電洽詢。,,2026/9/8,2999/12/31,2026/9/5,2026/8/6,彰化縣流浪狗中途之家臨時收容所,https://www.pet.gov.tw/upload/pic/1785989081622.png,,2026/9/5,彰化縣芳苑鄉文津段436-4地號（座標緯度及經度：23.932676， 120.367307）,-9
462473,GAAAG1150728003,11,69,彰化縣流浪狗中途之家臨時收容所,狗,混種犬          ,M,MEDIUM,黑黃色,ADULT,T,F,三民路237巷30號,,OPEN,115年9月8日早上10點30分起民眾可至收容所認養，本所不受理網路及電話預約，認養前請先來電洽詢。,,2026/9/8,2999/12/31,2026/9/5,2026/7/28,彰化縣流浪狗中途之家臨時收容所,https://www.pet.gov.tw/upload/pic/1785224471586.png,,2026/9/5,彰化縣芳苑鄉文津段436-4地號（座標緯度及經度：23.932676， 120.367307）,-9
461310,GAAAG1150720001,11,69,彰化縣流浪狗中途之家臨時收容所,狗,混種犬          ,M,MEDIUM,黑色,ADULT,T,F,員大路一段46巷,,OPEN,入所時戴有藍白色項圈；115年9月8日早上10點30分起民眾可至收容所認養，本所不受理網路及電話預約，認養前請先來電洽詢。,,2026/9/8,2999/12/31,2026/9/5,2026/7/20,彰化縣流浪狗中途之家臨時收容所,https://www.pet.gov.tw/upload/pic/1784529978185.png,,2026/9/5,彰化縣芳苑鄉文津段436-4地號（座標緯度及經度：23.932676， 120.367307）,-9
462568,GAAAG1150729004,11,69,彰化縣流浪狗中途之家臨時收容所,狗,混種犬          ,M,MEDIUM,黃色,ADULT,T,F,南勢巷12-5號,,OPEN,115年9月8日早上10點30分起民眾可至收容所認養，本所不受理網路及電話預約，認養前請先來電洽詢。,,2026/9/8,2999/12/31,2026/9/5,2026/7/29,彰化縣流浪狗中途之家臨時收容所,https://www.pet.gov.tw/upload/pic/1785293010132.png,,2026/9/5,彰化縣芳苑鄉文津段436-4地號（座標緯度及經度：23.932676， 120.367307）,-9
462718,GAAAG1150730004,11,69,彰化縣流浪狗中途之家臨時收容所,狗,混種犬          ,M,MEDIUM,棕色,ADULT,T,F,社斗路二段,,OPEN,115年9月8日早上10點30分起民眾可至收容所認養，本所不受理網路及電話預約，認養前請先來電洽詢。,,2026/9/8,2999/12/31,2026/9/5,2026/7/30,彰化縣流浪狗中途之家臨時收容所,https://www.pet.gov.tw/upload/pic/1785378291206.png,,2026/9/5,彰化縣芳苑鄉文津段436-4地號（座標緯度及經度：23.932676， 120.367307）,-9
462755,GAAAG1150730007,11,69,彰化縣流浪狗中途之家臨時收容所,狗,混種犬          ,M,MEDIUM,,ADULT,T,F,山腳路五段186巷79號,,OPEN,115年9月8日早上10點30分起民眾可至收容所認養，本所不受理網路及電話預約，認養前請先來電洽詢。,,2026/9/8,2999/12/31,2026/9/5,2026/7/30,彰化縣流浪狗中途之家臨時收容所,https://www.pet.gov.tw/upload/pic/1785391043850.png,,2026/9/5,彰化縣芳苑鄉文津段436-4地號（座標緯度及經度：23.932676， 120.367307）,-9
454229,GAAAG1150526010,11,69,彰化縣流浪狗中途之家臨時收容所,狗,混種犬          ,M,SMALL,黑黃色,CHILD,T,F,石牌路58號,,OPEN,115年9月8日早上10點30分起民眾可至收容所認養，本所不受理網路及電話預約，認養前請先來電洽詢。,,2026/9/8,2999/12/31,2026/9/5,2026/5/26,彰化縣流浪狗中途之家臨時收容所,https://www.pet.gov.tw/upload/pic/1779777554117.png,,2026/9/5,彰化縣芳苑鄉文津段436-4地號（座標緯度及經度：23.932676， 120.367307）,-9
454232,GAAAG1150526013,11,69,彰化縣流浪狗中途之家臨時收容所,狗,混種犬          ,M,SMALL,黑色,CHILD,T,F,石牌路58號,,OPEN,115年9月8日早上10點30分起民眾可至收容所認養，本所不受理網路及電話預約，認養前請先來電洽詢。,,2026/9/8,2999/12/31,2026/9/5,2026/5/26,彰化縣流浪狗中途之家臨時收容所,https://www.pet.gov.tw/upload/pic/1779777751803.png,,2026/9/5,彰化縣芳苑鄉文津段436-4地號（座標緯度及經度：23.932676， 120.367307）,-9
